Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1992+A2:V7562864,The Unwedding,Ally Condie,"Condie, Ally",,1538757583,9781538757581,4,3.25,Grand Central Publishing,Hardcover,339,2024,2024,10/8/2024,10/6/2024,,,read,,,,1,0
51589631,Last Tang Standing,Lauren  Ho,"Ho, Lauren",,0593187814,9780593187814,3,3.52,G.P. Putnam's Sons,Paperback,403,2020,2020,10/4/2024,9/28/2024,,,read,,,,1,0
59435944,"The Self-Made Widow (Suburban Dicks, #2)",Fabian Nicieza,"Nicieza, Fabian",,0593191307,9780593191309,1,3.91,G.P. Putnam's Sons,Kindle Edition,400,2022,2022,9/28/2024,9/28/2024,,,read,,,,1,0
8396713,"Key Lime Pie (A Culinary Mystery, #4)",Josi S. Kilpack,"Kilpack, Josi S.",,1606418130,9781606418130,3,3.82,Deseret Book Company,Paperback,360,2010,2010,9/22/2024,9/20/2024,,,read,,,,1,0
8695301,Great Soul: Mahatma Gandhi and His Struggle With India,Joseph Lelyveld,"Lelyveld, Joseph",,0307269582,9780307269584,0,3.8,Knopf,Hardcover,448,2011,2011,,9/14/2024,currently-reading,currently-reading (#1),currently-reading,,,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,0312577222,9780312577223,4,4.63,St. Martin's Press,Hardcover,564,2015,2015,9/13/2024,9/10/2024,,,read,,,,1,0
299416,"The Miser of Mayfair (A House For The Season, #1)",Marion Chesney,"Chesney, Marion",,0312906897,9780312906894,3,3.7,St Martins Pr,Paperback,167,1987,1986,9/9/2024,9/9/2024,,,read,,,,2,0
2445577,Shields of Pride,Elizabeth Chadwick,"Chadwick, Elizabeth",,0751540277,9780751540277,0,4.06,Sphere,Paperback,368,2007,1994,,9/9/2024,to-read,to-read (#29),to-read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,1649374046,9781649374042,3,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,9/7/2024,9/9/2024,,,read,,,,1,0
18299587,"The Mangle Street Murders (The Gower Street Detective, #1)",M.R.C. Kasasian,"Kasasian, M.R.C.",,1781851840,9781781851845,5,3.52,Head of Zeus,Hardcover,336,2013,2013,8/27/2024,8/26/2024,,,read,,,,1,0
